Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0210/150,CASSAFORMA X LINEA 6615/6/7/8,  63.00 ,3
0210/200,CASSAFORMA X LINEA 6615/6/7/8,  77.00 ,3
0210/300,CASSAFORMA X LINEA 6615/6/7/8,  105.00 ,3
0212,KIT BOX + PLASTER TRAFORATO,  23.00 ,3
0213,KIT BOX + PLASTER TRAFORATO,  23.00 ,3
0214,KIT BOX + PLASTER TRAFORATO,  24.00 ,3
0215,CONTROCASSA H 7 CM Ø 2,  2.50 ,3
0216,CONTROCASSA H 7 CM Ø 4,  3.00 ,3
0217,"CONTROCASSA H 8 CM Ø 3,8",  3.50 ,3
0218,CASSAFORMA X EDY MINI,  16.00 ,3
0219,PLASTER KIT TRAFOR. X EDY MINI,  15.00 ,3
0220,KIT CASS. DREN. + CONN. STAGNO,  22.00 ,3
0221,PLASTER KIT TRAFOR. X  SNORKY,  11.00 ,3
0222,LAMIERA FORATA C/FORO SAGOMATO,  10.20 ,3
0223,CASSAFORMA CALCESTRUZZO X STAR,  38.00 ,3
0224/C,PLASTER TRAFOR. X STAR TONDO,  31.00 ,3
0224/Q,PLASTER TRAFOR. X STAR QUADRO,  19.00 ,3
0225,CASSAFORMA MURATURA X STAR,  24.00 ,3
0226,COVERTIT. TENS/CORR 350mA,  22.00 ,1
0227,COVERTIT. TENS/CORR 500mA,  22.00 ,1
0228,CASSAFORMA DRENANTE,  7.00 ,3
0228/R,CASSAFORMA X RACCORDI DI LUCE,  9.00 ,1
0229,KIT CASS. DREN. + CONN. STAGNO,  24.00 ,3
0230,KIT CASS. DREN. + CONN. STAGNO,  22.00 ,3
0231,KIT CASS. DREN. + CONN. STAGNO,  23.00 ,3
0232,CASSAFORMA A PARETE Ø 6,  8.00 ,3
0233,MOLLA X CARTONGESSO X TRIS,  17.00 ,3
0234,CONTROCASSA H 8 CM Ø 3,  4.00 ,3
0235,CONTROCASSA A PARETE Ø 8,  9.00 ,3
0238,MOLLA X ZEPPELIN ADJUSTABLE,  16.00 ,3
0242/100,PROFILO X CARTONGESSO X LINEA,  5.50 ,3
0242/200,PROFILO X CARTONGESSO X LINEA,  11.00 ,3
0242/300,PROFILO X CARTONGESSO X LINEA,  16.00 ,3
0243,CONNETTORE IP X CAVI Ø ≤ 7 MM,  14.00 ,3
0244/100/INT,PROFILO E SCHERMO INTO,  31.00 ,3
0244/100/MAG,PROFILO E SCHERMO MAGIKA,  29.00 ,3
0244/100/MAR,PROFILO E SCHERMO MARGO,  30.00 ,3
0244/150/SOL1,PROFILO E SCHERMO SOLCO,  78.00 ,1
0244/150/SOL2,PROFILO E SCHERMO SOLCO MAXI,  83.00 ,1
0244/200/INT,PROFILO E SCHERMO INTO,  59.00 ,3
0244/200/MAG,PROFILO E SCHERMO MAGIKA,  42.00 ,3
0244/200/MAR,PROFILO E SCHERMO MARGO,  50.00 ,3
0244/300/INT,PROFILO E SCHERMO INTO,  85.00 ,3
0244/300/MAG,PROFILO E SCHERMO MAGIKA,  65.00 ,3
0244/300/MAR,PROFILO E SCHERMO MARGO,  67.00 ,3
0244/300/SOL1,PROFILO E SCHERMO SOLCO,  135.00 ,1
0244/300/SOL2,PROFILO E SCHERMO SOLCO MAXI,  146.00 ,1
0244/CLIP,CLIP DI FISSAGGIO,  0.50 ,3
0244/CLIP/INT,CLIP DI FISSAGGIO INTO,  3.20 ,3
0244/SPR/INT,MOLLA CARTONGESSO INTO,  5.00 ,3
0245T/INT,COPPIA TAPPI INTO,  9.00 ,3
0245T/MAG,COPPIA TAPPI MAGIKA,  2.50 ,3
0245T/MAR,COPPIA TAPPI MARGO,  2.50 ,3
0245T/SOL1,COPPIA TAPPI SOLCO,  7.00 ,1
0245T/SOL2,COPPIA TAPPI SOLCO MAXI,  11.00 ,1
0246/R,BOX + PLATE RACCORDI DI LUCE,  50.00 ,3
0247,PICCHETTO X VISION 1,  27.00 ,3
0248,PICCHETTO X VISION 3,  31.00 ,3
0249,BOX + PLASTER X SLOT,  37.00 ,3
0250,KIT CASS. DREN. + CONN. STAGNO,  21.00 ,3
0251,CASSAFORMA DRENANTE,  7.00 ,3
0252/S.33,COPRIBASE IN ACCIAIO,  23.00 ,1
0260,MOLLA X ZEPPELIN MAXI,  13.50 ,3
0260/C,MOLLA X ZEPPELIN MAXI COB,  18.00 ,3
0264.01,PARABOLA DECORATIVA,  65.00 ,3
0264.02,PARABOLA DECORATIVA,  65.00 ,3
0265.01,DIFFUSORE IN PYREX SABBIATO,  53.00 ,3
0265.02,DIFFUSORE IN PYREX SABBIATO,  53.00 ,3
0267.01,FRANGILUCE NEWTON,  31.00 ,3
0267.02,FRANGILUCE NEWTON,  31.00 ,3
0267/S.01,FRANGILUCE IRIS /NEWTON SLIM,  25.00 ,1
0267/S.02,FRANGILUCE IRIS /NEWTON SLIM,  25.00 ,1
0274.01,SCHERMO ANTIABBAGLIAMENTO,  33.00 ,3
0274.02,SCHERMO ANTIABBAGLIAMENTO,  33.00 ,3
0276,CONNETTORE IP67 RACCORDI,  17.50 ,1
0279,BOX X MURATURA,  2.00 ,3
0280,BOX X MURATURA,  2.00 ,3
0281/O,PLASTER X STAR ADJUSTABLE,  28.00 ,1
0282/C,PLASTER X STAR MEDIUM 1,  28.00 ,1
0283/Q,PLASTER X STAR MEDIUM 3,  14.00 ,1
0288.01,SCHERMO METACRILATO X EASY Q,  5.50 ,3
0289.01,SCHERMO METACRILATO X EASY T,  5.50 ,3
